Profundidad |   Numero de estados |     Factor de ramificacion
0               1               inf
1               2               2.000000
2               4               2.000000
3               10              2.500000
4               24              2.400000
5               54              2.250000
6               107             1.981481
7               212             1.981308
8               446             2.103774
9               946             2.121076
10              1948            2.059197
11              3938            2.021561
12              7808            1.982732
13              15544           1.990779
14              30821           1.982823
15              60842           1.974044
16              119000          1.955886
17              231844          1.948269
18              447342          1.929496
19              859744          1.921894
20              1637383         1.904501
21              3098270         1.892208
22              5802411         1.872791
23              10783780                1.858500
24              19826318                1.838531


25              36142146                1.822938
Killed
