simonp@ArabeKaboom:~/chanchanchan/problems/N-puzzle$ ./15-puzzle.bfs1 15
Profundidad |   Numero de estados |     Factor de ramificacion
0               3                       inf
1               9                       3.000000
2               27                      3.000000
3               85                      3.148148
4               271                     3.188235
5               873                     3.221402
6               2819                    3.229095
7               9117                    3.234126
8               29495                   3.235165
9               95441                   3.235837
10              308843                  3.235957
11              999429                  3.236042
12              3234207                 3.236055
13              10466105                        3.236065
14              33869011                        3.236067
15              109602413                       3.236068
16              354680839                       3.236068
Killed
