./15-puzzle.bfs2 15
Profundidad |   Numero de estados |     Factor de ramificacion
0               3                       inf
1               7                       2.333333
2               17                      2.428571
3               41                      2.411765
4               95                      2.317073
5               203                     2.136842
6               421                     2.073892
7               893                     2.121140
8               1923                    2.153415
9               4127                    2.146126
10              8793                    2.130603
11              18673                   2.123621
12              39719                   2.127082
13              84691                   2.132254
14              180621                  2.132706
15              384837                  2.130633
16              819531                  2.129554
17              1745511                 2.129890
18              3718849                 2.130522
19              7923705                 2.130687
20              16881263                        2.130476
21              35962203                        2.130303
22              76610933                        2.130318
23              163211917                       2.130400
24              347711763                       2.130431
Killed
