./15-puzzle.iddfs1 15
Profundidad |   Numero de estados |     Factor de ramificacion
1               3                       inf
2               9                       3.000000
3               27                      3.000000
4               85                      3.148148
5               271                     3.188235
6               873                     3.221402
7               2819                    3.229095
8               9117                    3.234126
9               29495                   3.235165
10              95441                   3.235837
11              308843                  3.235957
12              999429                  3.236042
13              3234207                 3.236055
14              10466105                        3.236065
15              33869011                        3.236067
16              109602413                       3.236068
17              354680839                       3.236068
18              1147771297                      3.236068
19              3714265915                      3.236068
20              12019616981                     3.236068
21              38896297583                     3.236068
0 estados en total.
