simonp@ArabeKaboom:~/chanchanchan/problems/N-puzzle$ ./15-puzzle.iddfs2 15
Profundidad |   Numero de estados |     Factor de ramificacion
1               3                       inf
2               7                       2.333333
3               17                      2.428571
4               41                      2.411765
5               95                      2.317073
6               203                     2.136842
7               421                     2.073892
8               893                     2.121140
9               1923                    2.153415
10              4127                    2.146126
11              8793                    2.130603
12              18673                   2.123621
13              39719                   2.127082
14              84691                   2.132254
15              180621                  2.132706
16              384837                  2.130633
17              819531                  2.129554
18              1745511                 2.129890
19              3718849                 2.130522
20              7923705                 2.130687
21              16881263                        2.130476
22              35962203                        2.130303
23              76610933                        2.130318
24              163211917                       2.130400
25              347711763                       2.130431
26              740768815                       2.130410
27              1578124073                      2.130387
28              3362011265                      2.130385
29              7162409399                      2.130394
30              15258794339                     2.130399
31              32507303773                     2.130398
32              69253389653                     2.130395
0 estados en total.
