./24-puzzle.bfs2 15
Profundidad |   Numero de estados |     Factor de ramificacion
0               3                       inf
1               7                       2.333333
2               17                      2.428571
3               43                      2.529412
4               107                     2.488372
5               267                     2.495327
6               639                     2.393258
7               1527                    2.389671
8               3523                    2.307138
9               8395                    2.382912
10              19719                   2.348898
11              47327                   2.400071
12              110851                  2.342236
13              265411                  2.394304
14              621247                  2.340698
15              1487255                 2.393983
16              3481003                 2.340556
17              8335115                 2.394458
18              19516119                        2.341434
19              46732751                        2.394572
20              109399155                       2.340952
Killed
