./24-puzzle.bfs1 15
Profundidad |   Numero de estados |     Factor de ramificacion
0               3                       inf
1               9                       3.000000
2               27                      3.000000
3               87                      3.222222
4               285                     3.275862
5               969                     3.400000
6               3291                    3.396285
7               11391                   3.461258
8               39093                   3.431920
9               135969                  3.478091
10              467907                  3.441277
11              1629447                 3.482416
12              5611245                 3.443650
13              19546809                        3.483506
14              67324011                        3.444246
Killed
