./24-puzzle.ucs1 15
Profundidad |   Numero de estados |     Factor de ramificacion
0               1               inf
1               2               2.000000
2               6               3.000000
3               18              3.000000
4               60              3.333333
5               198             3.300000
6               684             3.454545
7               2322            3.394737
8               8100            3.488372
9               27702           3.420000
10              96876           3.497076
11              331938          3.426421
12              1161540         3.499268
13              3981798         3.428034
14              13935564                3.499817
15              47777202                3.428437
Killed
