./rubik3Sticker.iddfs2 15
Profundidad |   Numero de estados |     Factor de ramificacion
1               19                      inf
2               262                     13.789474
3               3502                    13.366412
4               46756                   13.351228
5               624124                  13.348533
6               8331112                 13.348489
7               111207592                       13.348469
8               1484451136                      13.348469
9               19815150304                     13.348470
killed
