 ./topspin12x4.bfs2 15
Profundidad |   Numero de estados |     Factor de ramificacion
0               13                      inf
1               115                     8.846154
2               927                     8.060869
3               7329                    7.906149
4               57741                   7.878428
5               454643                  7.873833
6               3579455                 7.873111
7               28181057                        7.873002
8               221869069                       7.872986
Killed
