./topspin14x4.iddfs1 15
Profundidad |   Numero de estados |     Factor de ramificacion
1               15                      inf
2               211                     14.066667
3               2955                    14.004740
4               41371                   14.000339
5               579195                  14.000024
6               8108731                 14.000002
7               113522235                       14.000000
8               1589311291                      14.000000
9               22250358075                     14.000001
killed
