./hanoi_12x4.iddfs2 15
Profundidad |   Numero de estados |     Factor de ramificacion
1               4                       inf
2               19                      4.750000
3               88                      4.631579
4               415                     4.715909
5               2008                    4.838554
6               9871                    4.915837
7               49204                   4.984703
8               247795                  5.036074
9               1258312                 5.078036
10              6432331                 5.111873
11              33063208                        5.140160
12              170735791                       5.163921
13              885138784                       5.184260
14              4604326123                      5.201812
15              24021362452                     5.217129
0 estados en total.
