./hanoi_14x4.bfs1 15
Profundidad |   Numero de estados |     Factor de ramificacion
0               4                       inf
1               19                      4.750000
2               94                      4.947369
3               487                     5.180851
4               2596                    5.330595
5               14083                   5.424884
6               77458                   5.500106
7               430213                  5.554145
8               2408554                 5.598515
9               13569751                        5.633983
10              76856812                        5.663834
Killed
