./hanoi_14x4.ucs2 15
Profundidad |   Numero de estados |     Factor de ramificacion
0               2               inf
1               6               3.000000
2               30              5.000000
3               144             4.800000
4               717             4.979167
5               3671            5.119944
6               19047           5.188505
7               100091          5.254948
8               530487          5.300047
9               2831943         5.338383
10              15203776                5.368673
Killed
